File Name,Time Stamp,Storage Group,Sample,Day of Experiment,Ripening Index Classification
T10_d20_002_a_5,2022-04-23 13:17,T10,2,20,5
T10_d20_002_b_5,2022-04-23 13:17,T10,2,20,5
T10_d21_002_a_5,2022-04-24 15:17,T10,2,21,5
T10_d21_002_b_5,2022-04-24 15:17,T10,2,21,5
T10_d22_002_a_5,2022-04-25 15:21,T10,2,22,5
T10_d22_002_b_5,2022-04-25 15:21,T10,2,22,5
T10_d23_002_a_5,2022-04-26 13:08,T10,2,23,5
T10_d23_002_b_5,2022-04-26 13:08,T10,2,23,5
T10_d24_002_a_5,2022-04-27 15:54,T10,2,24,5
T10_d24_002_b_5,2022-04-27 15:54,T10,2,24,5
T10_d25_002_a_5,2022-04-28 19:53,T10,2,25,5
T10_d25_002_b_5,2022-04-28 19:53,T10,2,25,5
T10_d26_002_a_5,2022-04-29 14:36,T10,2,26,5
T10_d26_002_b_5,2022-04-29 14:36,T10,2,26,5
T10_d01_003_a_1,2022-04-04 10:22,T10,3,1,1
T10_d01_003_b_1,2022-04-04 10:22,T10,3,1,1
T10_d02_003_a_1,2022-04-05 11:07,T10,3,2,1
T10_d02_003_b_1,2022-04-05 11:07,T10,3,2,1
T10_d03_003_a_1,2022-04-06 11:33,T10,3,3,1
T10_d03_003_b_1,2022-04-06 11:34,T10,3,3,1
T10_d04_003_a_1,2022-04-07 11:04,T10,3,4,1
T10_d04_003_b_1,2022-04-07 11:06,T10,3,4,1
T10_d05_003_a_1,2022-04-08 11:59,T10,3,5,1
T10_d05_003_b_1,2022-04-08 12:00,T10,3,5,1
T10_d06_003_a_1,2022-04-09 12:18,T10,3,6,1
T10_d06_003_b_1,2022-04-09 12:18,T10,3,6,1
T10_d07_003_a_1,2022-04-10 12:38,T10,3,7,1
T10_d07_003_b_1,2022-04-10 12:38,T10,3,7,1
T10_d08_003_a_2,2022-04-11 11:41,T10,3,8,2
T10_d08_003_b_2,2022-04-11 11:41,T10,3,8,2
T10_d09_003_a_2,2022-04-12 12:01,T10,3,9,2
T10_d09_003_b_2,2022-04-12 12:02,T10,3,9,2
T10_d10_003_a_3,2022-04-13 11:42,T10,3,10,3
T10_d10_003_b_3,2022-04-13 11:42,T10,3,10,3
T10_d11_003_a_3,2022-04-14 12:27,T10,3,11,3
T10_d11_003_b_3,2022-04-14 12:27,T10,3,11,3
T10_d12_003_a_3,2022-04-15 16:35,T10,3,12,3
T10_d12_003_b_3,2022-04-15 16:35,T10,3,12,3
T10_d13_003_a_4,2022-04-16 14:14,T10,3,13,4
T10_d13_003_b_4,2022-04-16 14:14,T10,3,13,4
T10_d14_003_a_4,2022-04-17 15:35,T10,3,14,4
T10_d14_003_b_4,2022-04-17 15:35,T10,3,14,4
T10_d15_003_a_4,2022-04-18 16:21,T10,3,15,4
T10_d15_003_b_4,2022-04-18 16:22,T10,3,15,4
T10_d16_003_a_4,2022-04-19 12:59,T10,3,16,4
T10_d16_003_b_4,2022-04-19 12:59,T10,3,16,4
T10_d17_003_a_4,2022-04-20 12:29,T10,3,17,4
T10_d17_003_b_4,2022-04-20 12:29,T10,3,17,4
T10_d18_003_a_5,2022-04-21 13:58,T10,3,18,5
T10_d18_003_b_5,2022-04-21 13:59,T10,3,18,5
T10_d19_003_a_5,2022-04-22 13:11,T10,3,19,5
T10_d19_003_b_5,2022-04-22 13:11,T10,3,19,5
T10_d20_003_a_5,2022-04-23 13:41,T10,3,20,5
T10_d20_003_b_5,2022-04-23 13:41,T10,3,20,5
T10_d21_003_a_5,2022-04-24 14:53,T10,3,21,5
T10_d21_003_b_5,2022-04-24 14:53,T10,3,21,5
T10_d22_003_a_5,2022-04-25 15:44,T10,3,22,5
T10_d22_003_b_5,2022-04-25 15:45,T10,3,22,5
T10_d23_003_a_5,2022-04-26 12:37,T10,3,23,5
T10_d23_003_b_5,2022-04-26 12:38,T10,3,23,5
T10_d24_003_a_5,2022-04-27 16:26,T10,3,24,5
T10_d24_003_b_5,2022-04-27 16:26,T10,3,24,5
T10_d25_003_a_5,2022-04-28 18:43,T10,3,25,5
T10_d25_003_b_5,2022-04-28 18:43,T10,3,25,5
T10_d26_003_a_5,2022-04-29 14:53,T10,3,26,5
T10_d26_003_b_5,2022-04-29 14:53,T10,3,26,5
T20_d01_005_a_1,2022-04-03 18:51,T20,5,1,1
T20_d01_005_b_1,2022-04-03 18:51,T20,5,1,1
T20_d02_005_a_1,2022-04-05 15:15,T20,5,2,1
T20_d02_005_b_1,2022-04-05 15:15,T20,5,2,1
T20_d03_005_a_2,2022-04-06 14:36,T20,5,3,2
T20_d03_005_b_2,2022-04-06 14:36,T20,5,3,2
T20_d04_005_a_2,2022-04-07 13:27,T20,5,4,2
T20_d04_005_b_2,2022-04-07 13:27,T20,5,4,2
T20_d05_005_a_3,2022-04-08 14:18,T20,5,5,3
T20_d05_005_b_3,2022-04-08 14:18,T20,5,5,3
T20_d06_005_a_4,2022-04-09 14:34,T20,5,6,4
T20_d06_005_b_4,2022-04-09 14:34,T20,5,6,4
T20_d07_005_a_4,2022-04-10 14:56,T20,5,7,4
T20_d07_005_b_4,2022-04-10 14:56,T20,5,7,4
T20_d08_005_a_4,2022-04-11 12:48,T20,5,8,4
T20_d08_005_b_4,2022-04-11 12:48,T20,5,8,4
T20_d09_005_a_5,2022-04-12 14:20,T20,5,9,5
T20_d09_005_b_5,2022-04-12 14:20,T20,5,9,5
T20_d10_005_a_5,2022-04-13 12:37,T20,5,10,5
T20_d10_005_b_5,2022-04-13 12:37,T20,5,10,5
T20_d11_005_a_5,2022-04-14 14:52,T20,5,11,5
T20_d11_005_b_5,2022-04-14 14:53,T20,5,11,5
T10_d01_007_a_1,2022-04-04 10:23,T10,7,1,1
T10_d01_007_b_1,2022-04-04 10:23,T10,7,1,1
T10_d02_007_a_1,2022-04-05 11:07,T10,7,2,1
T10_d02_007_b_1,2022-04-05 11:08,T10,7,2,1
T10_d03_007_a_1,2022-04-06 11:34,T10,7,3,1
T10_d03_007_b_1,2022-04-06 11:35,T10,7,3,1
T10_d04_007_a_1,2022-04-07 11:07,T10,7,4,1
T10_d04_007_b_1,2022-04-07 11:07,T10,7,4,1
T10_d05_007_a_1,2022-04-08 12:00,T10,7,5,1
T10_d05_007_b_1,2022-04-08 12:00,T10,7,5,1
T10_d06_007_a_1,2022-04-09 12:19,T10,7,6,1
T10_d06_007_b_1,2022-04-09 12:19,T10,7,6,1
T10_d07_007_a_1,2022-04-10 12:38,T10,7,7,1
T10_d07_007_b_1,2022-04-10 12:38,T10,7,7,1
T10_d08_007_a_2,2022-04-11 11:41,T10,7,8,2
T10_d08_007_b_2,2022-04-11 11:41,T10,7,8,2
T10_d09_007_a_2,2022-04-12 12:02,T10,7,9,2
T10_d09_007_b_2,2022-04-12 12:02,T10,7,9,2
T10_d10_007_a_3,2022-04-13 11:42,T10,7,10,3
T10_d10_007_b_3,2022-04-13 11:42,T10,7,10,3
T10_d11_007_a_3,2022-04-14 12:27,T10,7,11,3
T10_d11_007_b_3,2022-04-14 12:27,T10,7,11,3
T10_d12_007_a_3,2022-04-15 16:35,T10,7,12,3
T10_d12_007_b_3,2022-04-15 16:35,T10,7,12,3
T10_d13_007_a_3,2022-04-16 14:14,T10,7,13,3
T10_d13_007_b_3,2022-04-16 14:14,T10,7,13,3
T10_d14_007_a_3,2022-04-17 15:36,T10,7,14,3
T10_d14_007_b_3,2022-04-17 15:36,T10,7,14,3
T10_d15_007_a_3,2022-04-18 16:22,T10,7,15,3
T10_d15_007_b_3,2022-04-18 16:22,T10,7,15,3
T10_d16_007_a_3,2022-04-19 12:59,T10,7,16,3
T10_d16_007_b_3,2022-04-19 12:59,T10,7,16,3
T10_d17_007_a_4,2022-04-20 12:29,T10,7,17,4
T10_d17_007_b_4,2022-04-20 12:29,T10,7,17,4
T10_d18_007_a_4,2022-04-21 13:59,T10,7,18,4
T10_d18_007_b_4,2022-04-21 13:59,T10,7,18,4
T10_d19_007_a_5,2022-04-22 13:12,T10,7,19,5
T10_d19_007_b_5,2022-04-22 13:12,T10,7,19,5
T10_d20_007_a_5,2022-04-23 13:41,T10,7,20,5
T10_d20_007_b_5,2022-04-23 13:41,T10,7,20,5
T10_d21_007_a_5,2022-04-24 14:54,T10,7,21,5
T10_d21_007_b_5,2022-04-24 14:54,T10,7,21,5
T10_d22_007_a_5,2022-04-25 15:45,T10,7,22,5
T10_d22_007_b_5,2022-04-25 15:45,T10,7,22,5
T10_d23_007_a_5,2022-04-26 12:41,T10,7,23,5
T10_d23_007_b_5,2022-04-26 12:42,T10,7,23,5
T10_d24_007_a_5,2022-04-27 16:26,T10,7,24,5
T10_d24_007_b_5,2022-04-27 16:27,T10,7,24,5
T10_d25_007_a_5,2022-04-28 18:44,T10,7,25,5
T10_d25_007_b_5,2022-04-28 18:44,T10,7,25,5
T10_d26_007_a_5,2022-04-29 14:53,T10,7,26,5
T10_d26_007_b_5,2022-04-29 14:53,T10,7,26,5
T20_d01_008_a_1,2022-04-03 18:52,T20,8,1,1
T20_d01_008_b_1,2022-04-03 18:52,T20,8,1,1
T20_d02_008_a_1,2022-04-05 15:16,T20,8,2,1
T20_d02_008_b_1,2022-04-05 15:16,T20,8,2,1
T20_d03_008_a_2,2022-04-06 14:37,T20,8,3,2
T20_d03_008_b_2,2022-04-06 14:37,T20,8,3,2
T20_d04_008_a_2,2022-04-07 13:28,T20,8,4,2
T20_d04_008_b_2,2022-04-07 13:29,T20,8,4,2
T20_d05_008_a_3,2022-04-08 14:19,T20,8,5,3
T20_d05_008_b_3,2022-04-08 14:19,T20,8,5,3
T20_d06_008_a_3,2022-04-09 14:36,T20,8,6,3
T20_d06_008_b_3,2022-04-09 14:36,T20,8,6,3
T20_d07_008_a_3,2022-04-10 14:57,T20,8,7,3
T20_d07_008_b_3,2022-04-10 14:57,T20,8,7,3
T20_d08_008_a_4,2022-04-11 12:49,T20,8,8,4
T20_d08_008_b_4,2022-04-11 12:49,T20,8,8,4
T20_d09_008_a_4,2022-04-12 14:21,T20,8,9,4
T20_d09_008_b_4,2022-04-12 14:21,T20,8,9,4
T20_d10_008_a_4,2022-04-13 12:37,T20,8,10,4
T20_d10_008_b_4,2022-04-13 12:37,T20,8,10,4
T20_d11_008_a_5,2022-04-14 14:53,T20,8,11,5
T20_d11_008_b_5,2022-04-14 14:53,T20,8,11,5
Tam_d01_009_a_1,2022-04-03 16:55,Tam,9,1,1
Tam_d01_009_b_1,2022-04-03 16:56,Tam,9,1,1
Tam_d02_009_a_2,2022-04-05 17:45,Tam,9,2,2
Tam_d02_009_b_2,2022-04-05 17:45,Tam,9,2,2
Tam_d03_009_a_2,2022-04-06 17:41,Tam,9,3,2
Tam_d03_009_b_2,2022-04-06 17:41,Tam,9,3,2
Tam_d04_009_a_3,2022-04-07 15:54,Tam,9,4,3
Tam_d04_009_b_3,2022-04-07 15:54,Tam,9,4,3
Tam_d05_009_a_4,2022-04-08 17:25,Tam,9,5,4
Tam_d05_009_b_4,2022-04-08 17:29,Tam,9,5,4
Tam_d06_009_a_4,2022-04-09 16:59,Tam,9,6,4
Tam_d06_009_b_4,2022-04-09 16:59,Tam,9,6,4
Tam_d07_009_a_4,2022-04-10 16:16,Tam,9,7,4
Tam_d07_009_b_4,2022-04-10 16:16,Tam,9,7,4
Tam_d08_009_a_5,2022-04-11 16:52,Tam,9,8,5
Tam_d08_009_b_5,2022-04-11 16:52,Tam,9,8,5
Tam_d09_009_a_5,2022-04-12 16:24,Tam,9,9,5
Tam_d09_009_b_5,2022-04-12 16:24,Tam,9,9,5
Tam_d10_009_a_5,2022-04-13 15:43,Tam,9,10,5
Tam_d10_009_b_5,2022-04-13 15:43,Tam,9,10,5
Tam_d11_009_a_5,2022-04-14 18:10,Tam,9,11,5
Tam_d11_009_b_5,2022-04-14 18:10,Tam,9,11,5
T20_d01_010_a_1,2022-04-04 19:29,T20,10,1,1
T20_d01_010_b_1,2022-04-04 19:29,T20,10,1,1
T20_d02_010_a_2,2022-04-05 14:43,T20,10,2,2
T20_d02_010_b_2,2022-04-05 14:43,T20,10,2,2
T20_d03_010_a_2,2022-04-06 13:58,T20,10,3,2
T20_d03_010_b_2,2022-04-06 13:59,T20,10,3,2
T20_d04_010_a_3,2022-04-07 14:00,T20,10,4,3
T20_d04_010_b_3,2022-04-07 14:00,T20,10,4,3
T20_d05_010_a_3,2022-04-08 15:02,T20,10,5,3
T20_d05_010_b_3,2022-04-08 15:02,T20,10,5,3
T20_d06_010_a_4,2022-04-09 15:10,T20,10,6,4
T20_d06_010_b_4,2022-04-09 15:10,T20,10,6,4
T20_d07_010_a_4,2022-04-10 15:19,T20,10,7,4
T20_d07_010_b_4,2022-04-10 15:19,T20,10,7,4
T20_d08_010_a_5,2022-04-11 14:46,T20,10,8,5
T20_d08_010_b_5,2022-04-11 14:46,T20,10,8,5
T20_d09_010_a_5,2022-04-12 15:41,T20,10,9,5
T20_d09_010_b_5,2022-04-12 15:41,T20,10,9,5
T20_d10_010_a_5,2022-04-13 13:00,T20,10,10,5
T20_d10_010_b_5,2022-04-13 13:00,T20,10,10,5
T20_d11_010_a_5,2022-04-14 15:23,T20,10,11,5
T20_d11_010_b_5,2022-04-14 15:23,T20,10,11,5
T10_d01_011_a_1,2022-04-04 11:01,T10,11,1,1
T10_d01_011_b_1,2022-04-04 11:01,T10,11,1,1
T10_d02_011_a_1,2022-04-05 12:11,T10,11,2,1
T10_d02_011_b_1,2022-04-05 12:11,T10,11,2,1
T10_d03_011_a_1,2022-04-06 12:11,T10,11,3,1
T10_d03_011_b_1,2022-04-06 12:11,T10,11,3,1
T10_d04_011_a_1,2022-04-07 11:40,T10,11,4,1
T10_d04_011_b_1,2022-04-07 11:41,T10,11,4,1
T10_d05_011_a_1,2022-04-08 12:30,T10,11,5,1
T10_d05_011_b_1,2022-04-08 12:30,T10,11,5,1
T10_d06_011_a_1,2022-04-09 12:42,T10,11,6,1
T10_d06_011_b_1,2022-04-09 12:42,T10,11,6,1
T10_d07_011_a_1,2022-04-10 12:09,T10,11,7,1
T10_d07_011_b_1,2022-04-10 12:09,T10,11,7,1
T10_d08_011_a_1,2022-04-11 12:12,T10,11,8,1
T10_d08_011_b_1,2022-04-11 12:12,T10,11,8,1
T10_d09_011_a_2,2022-04-12 12:41,T10,11,9,2
T10_d09_011_b_2,2022-04-12 12:42,T10,11,9,2
T10_d10_011_a_2,2022-04-13 12:10,T10,11,10,2
T10_d10_011_b_2,2022-04-13 12:10,T10,11,10,2
T10_d11_011_a_2,2022-04-14 13:05,T10,11,11,2
T10_d11_011_b_2,2022-04-14 13:05,T10,11,11,2
T10_d12_011_a_3,2022-04-15 17:01,T10,11,12,3
T10_d12_011_b_3,2022-04-15 17:01,T10,11,12,3
T10_d13_011_a_3,2022-04-16 13:50,T10,11,13,3
T10_d13_011_b_3,2022-04-16 13:50,T10,11,13,3
T10_d14_011_a_3,2022-04-17 15:54,T10,11,14,3
T10_d14_011_b_3,2022-04-17 15:54,T10,11,14,3
T10_d15_011_a_3,2022-04-18 16:01,T10,11,15,3
T10_d15_011_b_3,2022-04-18 16:01,T10,11,15,3
T10_d16_011_a_3,2022-04-19 13:26,T10,11,16,3
T10_d16_011_b_3,2022-04-19 13:26,T10,11,16,3
T10_d17_011_a_4,2022-04-20 13:07,T10,11,17,4
T10_d17_011_b_4,2022-04-20 13:07,T10,11,17,4
T10_d18_011_a_4,2022-04-21 14:18,T10,11,18,4
T10_d18_011_b_4,2022-04-21 14:18,T10,11,18,4
T10_d19_011_a_4,2022-04-22 13:36,T10,11,19,4
T10_d19_011_b_4,2022-04-22 13:36,T10,11,19,4
T10_d20_011_a_4,2022-04-23 13:17,T10,11,20,4
T10_d20_011_b_4,2022-04-23 13:18,T10,11,20,4
T10_d21_011_a_5,2022-04-24 15:17,T10,11,21,5
T10_d21_011_b_5,2022-04-24 15:18,T10,11,21,5
T10_d22_011_a_5,2022-04-25 15:21,T10,11,22,5
T10_d22_011_b_5,2022-04-25 15:21,T10,11,22,5
T10_d23_011_a_5,2022-04-26 13:08,T10,11,23,5
T10_d23_011_b_5,2022-04-26 13:08,T10,11,23,5
T10_d24_011_a_5,2022-04-27 15:54,T10,11,24,5
T10_d24_011_b_5,2022-04-27 15:54,T10,11,24,5
T10_d25_011_a_5,2022-04-28 19:53,T10,11,25,5
T10_d25_011_b_5,2022-04-28 19:53,T10,11,25,5
T10_d26_011_a_5,2022-04-29 14:36,T10,11,26,5
T10_d26_011_b_5,2022-04-29 14:36,T10,11,26,5
T10_d01_012_a_1,2022-04-04 11:42,T10,12,1,1
T10_d01_012_b_1,2022-04-04 11:42,T10,12,1,1
T10_d02_012_a_1,2022-04-05 11:37,T10,12,2,1
T10_d02_012_b_1,2022-04-05 11:38,T10,12,2,1
T10_d03_012_a_1,2022-04-06 10:55,T10,12,3,1
T10_d03_012_b_1,2022-04-06 10:55,T10,12,3,1
T10_d04_012_a_1,2022-04-07 10:34,T10,12,4,1
T10_d04_012_b_1,2022-04-07 10:34,T10,12,4,1
T10_d05_012_a_2,2022-04-08 11:13,T10,12,5,2
T10_d05_012_b_2,2022-04-08 11:13,T10,12,5,2
T10_d06_012_a_2,2022-04-09 11:31,T10,12,6,2
T10_d06_012_b_2,2022-04-09 11:31,T10,12,6,2
T10_d07_012_a_2,2022-04-10 11:36,T10,12,7,2
T10_d07_012_b_2,2022-04-10 11:36,T10,12,7,2
T10_d08_012_a_2,2022-04-11 11:02,T10,12,8,2
T10_d08_012_b_2,2022-04-11 11:03,T10,12,8,2
T10_d09_012_a_2,2022-04-12 11:17,T10,12,9,2
T10_d09_012_b_2,2022-04-12 11:17,T10,12,9,2
T10_d10_012_a_3,2022-04-13 11:12,T10,12,10,3
T10_d10_012_b_3,2022-04-13 11:12,T10,12,10,3
T10_d11_012_a_3,2022-04-14 11:36,T10,12,11,3
T10_d11_012_b_3,2022-04-14 11:36,T10,12,11,3
T10_d12_012_a_4,2022-04-15 16:03,T10,12,12,4
T10_d12_012_b_4,2022-04-15 16:04,T10,12,12,4
T10_d13_012_a_4,2022-04-16 13:31,T10,12,13,4
T10_d13_012_b_4,2022-04-16 13:32,T10,12,13,4
T10_d14_012_a_4,2022-04-17 15:08,T10,12,14,4
T10_d14_012_b_4,2022-04-17 15:08,T10,12,14,4
T10_d15_012_a_4,2022-04-18 15:34,T10,12,15,4
T10_d15_012_b_4,2022-04-18 15:34,T10,12,15,4
T10_d16_012_a_4,2022-04-19 12:11,T10,12,16,4
T10_d16_012_b_4,2022-04-19 12:11,T10,12,16,4
T10_d17_012_a_5,2022-04-20 12:02,T10,12,17,5
T10_d17_012_b_5,2022-04-20 12:02,T10,12,17,5
T10_d18_012_a_5,2022-04-21 13:33,T10,12,18,5
T10_d18_012_b_5,2022-04-21 13:33,T10,12,18,5
T10_d19_012_a_5,2022-04-22 12:47,T10,12,19,5
T10_d19_012_b_5,2022-04-22 12:47,T10,12,19,5
T10_d20_012_a_5,2022-04-23 12:21,T10,12,20,5
T10_d20_012_b_5,2022-04-23 12:21,T10,12,20,5
T10_d21_012_a_5,2022-04-24 14:32,T10,12,21,5
T10_d21_012_b_5,2022-04-24 14:32,T10,12,21,5
T10_d22_012_a_5,2022-04-25 14:24,T10,12,22,5
T10_d22_012_b_5,2022-04-25 14:24,T10,12,22,5
T10_d23_012_a_5,2022-04-26 11:51,T10,12,23,5
T10_d23_012_b_5,2022-04-26 11:51,T10,12,23,5
T10_d24_012_a_5,2022-04-27 15:09,T10,12,24,5
T10_d24_012_b_5,2022-04-27 15:09,T10,12,24,5
T10_d25_012_a_5,2022-04-28 17:48,T10,12,25,5
T10_d25_012_b_5,2022-04-28 17:49,T10,12,25,5
T10_d26_012_a_5,2022-04-29 14:15,T10,12,26,5
T10_d26_012_b_5,2022-04-29 14:16,T10,12,26,5
T10_d01_013_a_1,2022-04-04 11:42,T10,13,1,1
T10_d01_013_b_1,2022-04-04 11:43,T10,13,1,1
T10_d02_013_a_1,2022-04-05 11:38,T10,13,2,1
T10_d02_013_b_1,2022-04-05 11:38,T10,13,2,1
T10_d03_013_a_1,2022-04-06 10:56,T10,13,3,1
T10_d03_013_b_1,2022-04-06 10:56,T10,13,3,1
T10_d04_013_a_1,2022-04-07 10:34,T10,13,4,1
T10_d04_013_b_1,2022-04-07 10:34,T10,13,4,1
T10_d05_013_a_1,2022-04-08 11:14,T10,13,5,1
T10_d05_013_b_1,2022-04-08 11:14,T10,13,5,1
T10_d06_013_a_1,2022-04-09 11:32,T10,13,6,1
T10_d06_013_b_1,2022-04-09 11:32,T10,13,6,1
T10_d07_013_a_1,2022-04-10 11:38,T10,13,7,1
T10_d07_013_b_1,2022-04-10 11:38,T10,13,7,1
T10_d08_013_a_2,2022-04-11 11:03,T10,13,8,2
T10_d08_013_b_2,2022-04-11 11:03,T10,13,8,2
T10_d09_013_a_2,2022-04-12 11:17,T10,13,9,2
T10_d09_013_b_2,2022-04-12 11:18,T10,13,9,2
T10_d10_013_a_2,2022-04-13 11:12,T10,13,10,2
T10_d10_013_b_2,2022-04-13 11:13,T10,13,10,2
T10_d11_013_a_3,2022-04-14 11:36,T10,13,11,3
T10_d11_013_b_3,2022-04-14 11:37,T10,13,11,3
T10_d12_013_a_3,2022-04-15 16:04,T10,13,12,3
T10_d12_013_b_3,2022-04-15 16:04,T10,13,12,3
T10_d13_013_a_3,2022-04-16 13:32,T10,13,13,3
T10_d13_013_b_3,2022-04-16 13:32,T10,13,13,3
T10_d14_013_a_3,2022-04-17 15:08,T10,13,14,3
T10_d14_013_b_3,2022-04-17 15:08,T10,13,14,3
T10_d15_013_a_3,2022-04-18 15:34,T10,13,15,3
T10_d15_013_b_3,2022-04-18 15:35,T10,13,15,3
T10_d16_013_a_3,2022-04-19 12:11,T10,13,16,3
T10_d16_013_b_3,2022-04-19 12:11,T10,13,16,3
T10_d17_013_a_3,2022-04-20 12:03,T10,13,17,3
T10_d17_013_b_3,2022-04-20 12:03,T10,13,17,3
T10_d18_013_a_3,2022-04-21 13:33,T10,13,18,3
T10_d18_013_b_3,2022-04-21 13:34,T10,13,18,3
T10_d19_013_a_4,2022-04-22 12:47,T10,13,19,4
T10_d19_013_b_4,2022-04-22 12:47,T10,13,19,4
T10_d20_013_a_4,2022-04-23 12:22,T10,13,20,4
T10_d20_013_b_4,2022-04-23 12:22,T10,13,20,4
T10_d21_013_a_4,2022-04-24 14:32,T10,13,21,4
T10_d21_013_b_4,2022-04-24 14:32,T10,13,21,4
T10_d22_013_a_4,2022-04-25 14:25,T10,13,22,4
T10_d22_013_b_4,2022-04-25 14:25,T10,13,22,4
T10_d23_013_a_4,2022-04-26 11:52,T10,13,23,4
T10_d23_013_b_4,2022-04-26 11:52,T10,13,23,4
T10_d24_013_a_4,2022-04-27 15:09,T10,13,24,4
T10_d24_013_b_4,2022-04-27 15:09,T10,13,24,4
T10_d25_013_a_5,2022-04-28 17:49,T10,13,25,5
T10_d25_013_b_5,2022-04-28 17:49,T10,13,25,5
T10_d26_013_a_5,2022-04-29 14:16,T10,13,26,5
T10_d26_013_b_5,2022-04-29 14:16,T10,13,26,5
T10_d01_014_a_1,2022-04-04 11:43,T10,14,1,1
T10_d01_014_b_1,2022-04-04 11:43,T10,14,1,1
T10_d02_014_a_1,2022-04-05 11:38,T10,14,2,1
T10_d02_014_b_1,2022-04-05 11:39,T10,14,2,1
T10_d03_014_a_1,2022-04-06 10:56,T10,14,3,1
T10_d03_014_b_1,2022-04-06 10:56,T10,14,3,1
T10_d04_014_a_1,2022-04-07 10:35,T10,14,4,1
T10_d04_014_b_1,2022-04-07 10:35,T10,14,4,1
T10_d05_014_a_1,2022-04-08 11:14,T10,14,5,1
T10_d05_014_b_1,2022-04-08 11:14,T10,14,5,1
T10_d06_014_a_1,2022-04-09 11:32,T10,14,6,1
